id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1444,Female,22,1,46,1,< 1 Year,No,41401,152,92,0
1445,Male,40,1,37,0,1-2 Year,Yes,2630,124,150,0
1446,Male,62,1,28,0,1-2 Year,Yes,45032,26,93,0
1447,Female,53,1,29,1,1-2 Year,No,26109,152,62,0
1448,Male,22,1,7,1,< 1 Year,No,37733,152,174,0
1449,Male,40,1,28,0,1-2 Year,Yes,61915,122,27,1
1450,Male,25,1,28,0,< 1 Year,No,51316,124,236,0
1451,Male,59,1,28,0,> 2 Years,Yes,40512,157,142,0
1452,Male,52,1,41,0,1-2 Year,Yes,30070,26,96,0
1453,Male,44,1,15,0,1-2 Year,Yes,35375,124,258,0
1454,Male,25,1,10,1,< 1 Year,No,30255,151,166,0
1455,Male,70,1,28,0,1-2 Year,Yes,2630,157,57,1
1456,Male,50,1,28,0,1-2 Year,Yes,27881,26,41,0
1457,Female,26,1,14,1,< 1 Year,No,22619,152,262,0
1458,Female,30,1,28,0,1-2 Year,Yes,59256,124,189,1
1459,Female,26,1,48,0,< 1 Year,No,2630,152,192,0
1460,Female,23,1,28,1,< 1 Year,No,39719,152,187,0
1461,Female,21,1,8,0,< 1 Year,Yes,45353,160,222,0
1462,Male,65,1,24,0,1-2 Year,Yes,32138,26,10,0
1463,Male,56,1,16,0,1-2 Year,Yes,32331,26,271,0
1464,Female,78,1,28,0,1-2 Year,No,44327,26,282,0
1465,Male,23,1,30,1,< 1 Year,No,25800,152,225,0
1466,Male,21,1,3,0,< 1 Year,Yes,40178,160,295,0
1467,Male,35,1,28,1,1-2 Year,No,28211,26,219,0
1468,Female,68,1,35,0,1-2 Year,Yes,59197,30,16,0
1469,Male,29,1,28,1,< 1 Year,No,55032,152,22,0
1470,Male,32,1,23,0,< 1 Year,Yes,34694,153,212,1
1471,Female,47,1,28,0,1-2 Year,Yes,55841,13,295,0
1472,Male,24,1,13,0,< 1 Year,Yes,33044,152,58,0
1473,Male,49,1,3,0,> 2 Years,Yes,29992,59,63,1
1474,Female,43,1,9,0,> 2 Years,Yes,34303,124,228,1
1475,Female,33,1,28,1,1-2 Year,No,60811,124,154,0
1476,Male,20,1,45,0,< 1 Year,No,2630,160,193,0
1477,Female,37,1,28,1,1-2 Year,No,33115,26,203,0
1478,Male,52,1,20,0,1-2 Year,Yes,2630,124,152,0
1479,Male,35,1,20,0,1-2 Year,Yes,2630,26,67,0
1480,Female,20,1,13,0,< 1 Year,No,29090,160,238,0
1481,Female,26,1,15,1,< 1 Year,No,29871,152,168,0
1482,Female,27,1,15,1,< 1 Year,No,45959,152,90,0
1483,Female,30,1,12,0,< 1 Year,No,2630,152,43,0
1484,Male,27,1,9,1,< 1 Year,No,36310,152,87,0
1485,Male,47,1,28,0,1-2 Year,No,30423,124,109,0
1486,Male,57,1,28,0,1-2 Year,Yes,53832,26,50,0
1487,Female,46,1,41,0,< 1 Year,Yes,2630,124,131,1
1488,Male,47,1,33,0,1-2 Year,Yes,45360,124,108,0
1489,Male,35,1,14,1,1-2 Year,No,35692,124,43,0
1490,Female,24,1,15,1,< 1 Year,No,2630,151,256,0
1491,Male,26,1,28,1,< 1 Year,Yes,47374,26,116,0
1492,Female,36,1,8,0,1-2 Year,Yes,2630,156,277,1
1493,Female,52,1,28,0,1-2 Year,Yes,27845,26,26,0
1494,Male,22,1,36,1,< 1 Year,No,38259,152,14,0
1495,Male,53,1,28,0,1-2 Year,Yes,43408,26,193,0
1496,Female,23,1,6,1,< 1 Year,No,24820,26,47,0
1497,Male,22,1,13,1,< 1 Year,No,26415,152,109,0
1498,Male,34,1,20,0,1-2 Year,Yes,37823,60,137,1
1499,Male,45,1,26,1,1-2 Year,Yes,31433,22,284,0
1500,Female,33,1,41,0,1-2 Year,Yes,34547,154,106,0
1501,Male,24,1,28,1,< 1 Year,No,37504,152,222,0
1502,Male,24,1,36,1,< 1 Year,No,35764,160,76,0
1503,Female,28,1,11,1,< 1 Year,No,28500,152,116,0
1504,Male,30,1,30,0,1-2 Year,Yes,23360,124,235,0
1505,Female,21,1,30,1,< 1 Year,No,28984,152,86,0
1506,Male,45,1,3,0,1-2 Year,Yes,2630,26,26,0
1507,Female,51,1,28,1,1-2 Year,No,39714,124,71,0
1508,Female,23,1,33,0,< 1 Year,Yes,2630,152,50,0
1509,Male,21,1,44,1,< 1 Year,No,31696,152,127,0
1510,Male,25,1,28,1,< 1 Year,No,129706,152,42,0
1511,Female,25,1,32,1,< 1 Year,No,27865,152,161,0
1512,Female,36,1,46,0,1-2 Year,Yes,27218,157,44,1
1513,Male,27,1,3,1,< 1 Year,No,23779,152,236,0
1514,Female,34,1,28,0,1-2 Year,Yes,43655,124,34,1
1515,Male,23,1,30,1,< 1 Year,No,36160,152,105,0
1516,Female,34,1,50,0,1-2 Year,Yes,34952,8,49,0
1517,Female,38,1,0,0,1-2 Year,Yes,2630,71,146,0
1518,Female,23,1,33,1,< 1 Year,No,29759,152,132,0
1519,Male,43,1,28,0,1-2 Year,Yes,40970,124,212,1
1520,Male,39,1,16,0,1-2 Year,Yes,24353,124,260,0
1521,Male,51,1,29,0,1-2 Year,Yes,23224,124,123,1
1522,Male,43,1,28,0,1-2 Year,Yes,43418,26,199,1
1523,Female,32,1,28,1,1-2 Year,No,25401,124,145,0
1524,Female,24,1,29,0,1-2 Year,Yes,26184,154,156,0
1525,Female,56,1,28,0,> 2 Years,Yes,52592,26,166,1
1526,Female,60,1,28,1,1-2 Year,No,34606,124,58,0
1527,Male,46,1,0,1,1-2 Year,No,2630,60,206,0
1528,Male,54,1,32,0,1-2 Year,Yes,36076,124,150,0
1529,Male,26,1,32,0,< 1 Year,Yes,2630,124,70,0
1530,Female,68,1,28,0,1-2 Year,No,43486,26,292,0
1531,Female,27,1,37,0,< 1 Year,Yes,32561,152,93,0
1532,Male,30,1,30,1,< 1 Year,No,22565,152,26,0
1533,Male,37,1,41,0,1-2 Year,Yes,2630,124,70,0
1534,Male,38,1,41,0,1-2 Year,Yes,2630,31,66,0
1535,Female,24,1,29,1,< 1 Year,No,24886,152,209,0
1536,Male,37,1,28,1,1-2 Year,No,35520,13,65,0
1537,Female,34,1,28,1,1-2 Year,No,53767,26,85,0
1538,Female,52,1,28,0,1-2 Year,Yes,35628,122,256,0
1539,Male,23,1,37,1,< 1 Year,No,36058,151,63,0
1540,Male,40,1,28,0,1-2 Year,Yes,64644,124,117,1
1541,Male,30,1,28,1,< 1 Year,No,28626,152,285,0
1542,Male,32,1,38,1,1-2 Year,No,30434,124,132,0
1543,Female,25,1,41,1,< 1 Year,No,26984,152,289,0
1544,Female,73,1,28,1,1-2 Year,No,45572,26,238,0
1545,Female,23,1,33,1,< 1 Year,No,32381,152,191,0
1546,Male,37,1,3,0,> 2 Years,Yes,27133,157,34,1
1547,Female,47,1,28,0,1-2 Year,Yes,46660,26,187,1
1548,Male,27,1,11,1,< 1 Year,No,67664,152,156,0
1549,Female,24,1,2,1,< 1 Year,No,28783,151,234,0
1550,Male,26,1,18,1,< 1 Year,No,29601,152,44,0
1551,Male,50,1,28,0,1-2 Year,Yes,56385,124,92,0
1552,Female,26,1,32,1,< 1 Year,No,24123,152,99,0
1553,Male,32,1,2,0,< 1 Year,Yes,38243,152,181,1
1554,Female,24,1,24,0,< 1 Year,Yes,31823,160,134,0
1555,Female,21,1,8,1,< 1 Year,No,117544,160,158,0
1556,Female,25,1,11,1,< 1 Year,No,31904,152,125,0
1557,Female,25,1,30,1,< 1 Year,No,27133,152,48,0
1558,Female,36,1,28,0,1-2 Year,Yes,36042,124,298,1
1559,Male,41,1,28,0,1-2 Year,Yes,56070,52,238,0
1560,Male,31,1,18,1,< 1 Year,No,29353,152,150,0
1561,Male,59,1,43,1,1-2 Year,No,54970,26,293,0
1562,Female,22,1,9,1,< 1 Year,No,2630,152,11,0
1563,Male,54,1,31,0,> 2 Years,Yes,2630,157,29,0
1564,Male,39,1,28,1,1-2 Year,No,36571,26,298,0
1565,Female,22,1,18,1,< 1 Year,No,27423,152,163,0
1566,Male,22,1,10,1,< 1 Year,No,29204,152,157,0
1567,Female,24,1,47,1,< 1 Year,No,31545,152,284,0
1568,Male,27,1,18,1,< 1 Year,No,23714,152,132,0
1569,Female,23,1,14,1,< 1 Year,No,33289,152,269,0
1570,Female,55,1,2,0,1-2 Year,Yes,50007,152,123,0
1571,Male,23,1,28,1,< 1 Year,No,61181,152,42,0
1572,Female,39,1,28,0,1-2 Year,Yes,40362,26,198,0
1573,Female,23,1,28,0,1-2 Year,Yes,40754,124,220,0
1574,Female,22,1,11,0,< 1 Year,Yes,35135,124,198,0
1575,Male,47,1,46,1,1-2 Year,No,34696,124,116,0
1576,Female,29,1,34,0,< 1 Year,Yes,27511,152,135,0
1577,Female,48,1,28,0,1-2 Year,Yes,28720,124,208,0
1578,Male,45,1,28,0,1-2 Year,Yes,34510,124,243,1
1579,Male,65,1,6,0,1-2 Year,Yes,22598,26,188,0
1580,Female,45,1,28,0,1-2 Year,Yes,30440,124,80,0
1581,Male,42,1,28,1,1-2 Year,No,38568,52,287,0
1582,Female,26,1,8,1,< 1 Year,No,35209,152,253,0
1583,Female,24,1,50,0,< 1 Year,Yes,27607,152,74,0
1584,Male,29,1,47,0,< 1 Year,Yes,27352,152,101,1
1585,Male,50,1,28,0,1-2 Year,Yes,34229,124,70,0
1586,Male,36,1,28,1,1-2 Year,No,46383,124,126,0
1587,Female,26,1,47,0,< 1 Year,Yes,2630,160,175,0
1588,Male,23,1,9,1,< 1 Year,No,31230,152,76,0
1589,Female,75,1,28,0,1-2 Year,Yes,31514,124,99,0
1590,Male,42,1,28,0,1-2 Year,Yes,34408,124,225,0
1591,Female,31,1,36,0,< 1 Year,No,21897,160,274,0
1592,Female,47,1,48,1,1-2 Year,No,2630,116,210,0
1593,Female,50,1,46,0,> 2 Years,Yes,53323,26,35,1
1594,Male,36,1,41,0,1-2 Year,Yes,32941,124,209,1
1595,Female,24,1,40,1,< 1 Year,No,21795,152,292,0
1596,Male,32,1,28,0,1-2 Year,No,51617,124,197,0
1597,Male,54,1,47,0,1-2 Year,Yes,31523,124,210,0
1598,Male,50,1,10,1,1-2 Year,No,2630,26,73,0
1599,Male,43,1,30,1,1-2 Year,No,27064,124,88,0
1600,Male,50,1,33,0,> 2 Years,Yes,62815,26,165,1
1601,Male,31,1,28,0,< 1 Year,Yes,44339,124,252,0
1602,Male,51,1,50,0,> 2 Years,Yes,2630,156,132,0
1603,Male,47,1,3,0,1-2 Year,Yes,39434,26,92,0
1604,Female,73,1,28,1,1-2 Year,Yes,38084,23,133,0
1605,Female,43,1,28,0,1-2 Year,Yes,44665,26,265,0
1606,Male,41,1,30,1,1-2 Year,No,2630,152,66,0
1607,Female,48,1,14,0,1-2 Year,Yes,32417,26,134,0
1608,Female,25,1,15,1,< 1 Year,No,50387,152,91,0
1609,Female,24,1,28,0,< 1 Year,Yes,64616,152,210,0
1610,Female,22,1,47,0,< 1 Year,Yes,21648,152,184,0
1611,Female,29,1,30,0,< 1 Year,Yes,34267,152,256,0
1612,Male,54,1,28,0,1-2 Year,Yes,2630,156,269,0
1613,Female,37,1,28,0,1-2 Year,Yes,35039,124,249,0
1614,Female,65,1,28,1,1-2 Year,No,38986,26,22,0
1615,Female,46,1,28,0,1-2 Year,No,55747,26,253,0
1616,Male,25,1,33,1,< 1 Year,No,34824,152,160,0
1617,Female,62,1,47,0,1-2 Year,Yes,29980,16,141,0
1618,Male,76,0,20,0,1-2 Year,Yes,2630,26,58,0
1619,Female,24,1,37,0,< 1 Year,Yes,34109,152,133,0
1620,Female,24,1,11,1,< 1 Year,No,31790,152,136,0
1621,Female,22,1,10,0,< 1 Year,No,24174,152,68,0
1622,Male,39,1,30,0,1-2 Year,Yes,29859,26,225,0
1623,Male,42,1,33,1,1-2 Year,No,24669,26,127,0
1624,Female,27,1,33,1,< 1 Year,No,26993,152,156,0
1625,Male,25,1,41,1,< 1 Year,No,22765,26,221,0
1626,Female,55,1,8,0,1-2 Year,Yes,34431,26,226,1
1627,Male,54,1,10,0,1-2 Year,Yes,41670,152,249,0
1628,Female,25,1,31,1,< 1 Year,No,2630,152,80,0
1629,Female,42,1,29,0,1-2 Year,No,2630,124,86,0
1630,Male,76,1,28,0,1-2 Year,Yes,63263,124,136,0
1631,Female,30,1,28,0,< 1 Year,Yes,28457,152,72,0
1632,Male,76,1,50,1,1-2 Year,No,33821,26,220,0
1633,Male,24,1,24,0,< 1 Year,Yes,28597,160,238,0
1634,Female,47,1,8,0,1-2 Year,Yes,2630,26,194,0
1635,Male,21,1,8,1,< 1 Year,No,50162,152,133,0
1636,Female,23,1,28,0,1-2 Year,No,38388,124,278,1
1637,Female,54,1,28,0,1-2 Year,Yes,47366,124,233,0
1638,Female,25,1,3,0,< 1 Year,Yes,2630,152,107,0
1639,Male,22,1,4,0,< 1 Year,Yes,29066,152,188,1
1640,Male,23,1,28,0,< 1 Year,Yes,28532,152,54,1
1641,Female,24,1,46,1,< 1 Year,No,27224,152,11,0
1642,Male,31,1,46,0,< 1 Year,Yes,2630,160,47,0
1643,Male,62,1,28,1,1-2 Year,No,64691,26,109,0
1644,Male,46,1,28,0,1-2 Year,Yes,55236,26,179,0
1645,Female,51,1,7,1,1-2 Year,No,47398,11,46,0
1646,Female,42,1,47,0,1-2 Year,Yes,35186,26,164,0
1647,Female,50,1,28,0,1-2 Year,Yes,34990,124,228,0
1648,Female,26,1,29,1,< 1 Year,No,35451,160,68,0
1649,Female,32,1,50,0,1-2 Year,No,36147,8,10,0
1650,Male,57,1,41,0,1-2 Year,Yes,34041,124,108,0
1651,Male,49,1,28,0,> 2 Years,Yes,44116,26,210,0
1652,Male,32,1,28,0,< 1 Year,Yes,27604,124,40,1
1653,Female,22,1,41,1,< 1 Year,No,25454,152,37,0
1654,Male,29,1,8,1,1-2 Year,No,31443,124,280,0
1655,Female,24,1,43,1,< 1 Year,No,30648,152,45,0
1656,Male,50,1,28,0,1-2 Year,Yes,2630,156,120,0
1657,Male,23,1,8,1,< 1 Year,No,35518,160,237,0
1658,Female,24,1,28,0,< 1 Year,Yes,37464,124,200,0
1659,Female,57,1,41,1,1-2 Year,No,29201,26,258,0
1660,Male,30,1,3,1,< 1 Year,No,34339,152,205,0
1661,Male,60,1,28,0,1-2 Year,Yes,28629,13,63,0
1662,Male,23,1,15,0,< 1 Year,Yes,31087,152,25,0
1663,Male,49,1,28,0,1-2 Year,Yes,34503,124,277,1
1664,Female,22,1,6,1,< 1 Year,No,27641,150,25,0
1665,Male,38,1,37,1,1-2 Year,No,29619,152,219,0
1666,Male,44,1,8,0,1-2 Year,Yes,88811,124,159,0
1667,Female,28,1,10,1,< 1 Year,No,34788,152,59,0
1668,Female,46,1,19,0,1-2 Year,Yes,39248,124,278,1
1669,Male,51,1,11,0,1-2 Year,No,2630,122,39,0
1670,Male,53,1,46,0,1-2 Year,Yes,23223,154,140,1
1671,Male,43,1,6,1,1-2 Year,No,29908,26,230,0
1672,Female,40,1,11,0,1-2 Year,Yes,31206,124,276,0
1673,Male,27,1,28,0,< 1 Year,Yes,65067,152,273,0
1674,Female,24,1,8,0,< 1 Year,No,52358,152,200,0
1675,Male,28,1,30,0,< 1 Year,Yes,2630,152,94,0
1676,Male,53,1,28,0,1-2 Year,Yes,73987,26,271,0
1677,Female,23,1,11,1,< 1 Year,No,27493,152,112,0
1678,Male,22,1,31,0,< 1 Year,Yes,2630,160,166,0
1679,Male,26,1,30,0,< 1 Year,Yes,2630,152,225,0
1680,Male,57,1,28,0,1-2 Year,Yes,46679,124,209,0
1681,Female,25,1,28,1,< 1 Year,No,54497,26,234,0
1682,Male,57,1,8,0,1-2 Year,No,2630,152,56,0
1683,Male,44,1,4,0,1-2 Year,Yes,22423,124,45,0
1684,Female,30,1,14,1,< 1 Year,No,25806,152,47,0
1685,Female,29,1,8,1,< 1 Year,No,24441,152,15,0
1686,Male,23,1,39,1,< 1 Year,No,32497,152,131,0
1687,Male,78,1,28,1,1-2 Year,Yes,42069,26,85,0
1688,Male,66,1,8,0,1-2 Year,Yes,39795,124,209,0
1689,Female,23,1,41,1,< 1 Year,No,28565,152,268,0
1690,Male,76,1,28,0,1-2 Year,Yes,2630,26,52,0
1691,Female,25,1,41,1,< 1 Year,No,25630,152,31,0
1692,Male,38,1,28,0,1-2 Year,Yes,48396,26,271,1
1693,Female,31,1,32,1,< 1 Year,No,33573,152,275,0
1694,Female,24,1,8,1,< 1 Year,No,39992,152,155,0
1695,Male,23,1,6,1,< 1 Year,No,21809,152,84,0
1696,Male,24,1,29,1,< 1 Year,No,37924,152,114,0
1697,Female,33,1,30,0,< 1 Year,Yes,2630,152,70,0
1698,Female,20,1,46,1,< 1 Year,No,27503,160,120,0
1699,Female,21,1,8,1,< 1 Year,No,53441,152,108,0
1700,Male,34,1,22,0,1-2 Year,Yes,23147,124,141,0
1701,Male,23,1,15,1,< 1 Year,No,18465,160,103,0
1702,Male,25,1,12,1,< 1 Year,No,2630,152,257,0
1703,Female,45,1,11,1,1-2 Year,No,26476,154,291,0
1704,Male,47,1,8,0,1-2 Year,Yes,27011,73,288,0
1705,Female,42,1,28,0,1-2 Year,Yes,38111,122,267,0
1706,Male,53,1,46,0,1-2 Year,Yes,43021,119,96,0
1707,Male,47,1,38,1,1-2 Year,No,23815,26,233,0
1708,Female,23,1,10,1,< 1 Year,No,31692,152,287,0
1709,Male,27,1,28,0,1-2 Year,Yes,49278,156,274,1
1710,Male,56,1,28,0,> 2 Years,Yes,48004,116,286,0
1711,Female,44,1,28,0,1-2 Year,Yes,35579,26,297,0
1712,Female,35,1,35,1,1-2 Year,No,31055,152,89,0
1713,Male,34,1,41,0,< 1 Year,Yes,41659,26,259,0
1714,Female,57,1,29,0,1-2 Year,Yes,2630,156,77,0
1715,Female,24,1,30,1,< 1 Year,No,23337,152,256,0
1716,Male,55,1,28,0,1-2 Year,Yes,47758,26,14,0
1717,Male,72,1,8,0,1-2 Year,Yes,2630,26,247,0
1718,Male,26,1,15,1,< 1 Year,No,37729,152,144,0
1719,Female,20,1,8,0,< 1 Year,Yes,42539,160,15,0
1720,Male,26,1,3,1,< 1 Year,No,25001,152,97,0
1721,Female,35,1,11,0,1-2 Year,Yes,25355,124,144,0
1722,Male,58,1,28,1,1-2 Year,No,38744,26,51,0
1723,Male,61,1,28,0,1-2 Year,Yes,39551,122,229,0
1724,Male,27,1,8,1,< 1 Year,No,31311,152,146,0
1725,Female,26,1,28,1,< 1 Year,No,38479,152,227,0
1726,Male,59,1,28,1,1-2 Year,No,64633,26,41,0
1727,Male,66,1,38,0,> 2 Years,Yes,27781,124,266,0
1728,Male,22,1,15,0,< 1 Year,Yes,36442,152,208,0
1729,Male,46,1,28,0,1-2 Year,Yes,40564,24,179,1
1730,Female,35,1,10,1,1-2 Year,No,29869,152,193,0
1731,Male,54,1,38,0,> 2 Years,Yes,38173,26,15,0
1732,Female,27,1,28,0,1-2 Year,Yes,30898,122,55,0
1733,Male,36,1,26,1,1-2 Year,No,26867,26,239,0
1734,Male,78,1,28,0,1-2 Year,No,30992,124,82,0
1735,Female,47,1,8,0,1-2 Year,Yes,41699,124,10,0
1736,Male,75,1,28,1,1-2 Year,No,26492,124,255,0
1737,Female,24,1,2,1,< 1 Year,No,29571,151,165,0
1738,Female,30,1,8,1,< 1 Year,No,27931,152,88,0
1739,Male,24,1,33,1,< 1 Year,No,26807,152,85,0
1740,Female,30,1,11,0,< 1 Year,Yes,36445,152,162,0
1741,Male,41,1,4,1,1-2 Year,No,28048,124,287,0
1742,Male,36,1,8,0,1-2 Year,Yes,37086,124,266,0
1743,Male,24,1,46,1,< 1 Year,Yes,34059,152,229,0
1744,Male,54,1,46,1,1-2 Year,No,24434,26,66,0
1745,Male,61,1,43,1,1-2 Year,No,49209,26,52,0
1746,Male,54,1,0,0,1-2 Year,Yes,2630,26,269,0
1747,Female,21,1,13,0,< 1 Year,Yes,25871,160,240,0
1748,Male,45,1,11,0,> 2 Years,Yes,63436,26,145,0
1749,Female,63,1,33,1,1-2 Year,No,26036,124,139,0
1750,Male,23,1,21,1,< 1 Year,No,28714,152,273,0
1751,Male,42,1,28,1,1-2 Year,No,34207,124,30,0
1752,Female,25,1,21,0,< 1 Year,Yes,26192,152,188,1
1753,Male,33,1,28,0,< 1 Year,Yes,37926,122,241,0
1754,Male,42,1,28,0,1-2 Year,Yes,2630,157,79,0
1755,Male,68,1,28,0,1-2 Year,Yes,44268,124,127,0
1756,Female,53,1,28,0,1-2 Year,No,44019,61,100,0
1757,Male,50,1,8,0,1-2 Year,Yes,32984,124,257,1
1758,Female,24,1,1,1,< 1 Year,No,2630,152,28,0
1759,Male,20,1,35,0,< 1 Year,Yes,39230,160,208,0
1760,Male,22,1,32,1,< 1 Year,No,32723,152,38,0
1761,Female,28,1,28,1,< 1 Year,No,46418,152,269,0
1762,Female,26,1,15,1,< 1 Year,No,45235,152,189,0
1763,Female,22,1,46,0,< 1 Year,Yes,45766,160,184,0
1764,Female,55,1,46,1,1-2 Year,No,23881,152,28,0
1765,Male,23,1,15,0,< 1 Year,Yes,28031,152,268,0
1766,Female,21,1,39,1,< 1 Year,No,26934,160,200,0
1767,Female,69,1,37,0,1-2 Year,Yes,35200,124,167,0
1768,Female,57,1,29,1,1-2 Year,No,29267,152,276,0
1769,Female,26,1,41,1,< 1 Year,No,35887,152,215,0
1770,Male,21,1,30,0,< 1 Year,Yes,22332,152,299,0
1771,Male,41,1,8,0,1-2 Year,Yes,39040,124,291,0
1772,Male,24,1,8,1,< 1 Year,No,33257,160,59,0
1773,Female,25,1,29,1,< 1 Year,No,26816,152,154,0
1774,Male,77,1,31,1,1-2 Year,Yes,2630,9,126,0
1775,Female,26,1,40,0,< 1 Year,No,20053,152,271,0
1776,Male,25,1,41,1,< 1 Year,No,30764,152,113,0
1777,Male,38,1,28,0,1-2 Year,Yes,31048,24,268,1
1778,Female,51,1,48,0,1-2 Year,Yes,2630,157,31,0
1779,Male,45,1,28,1,1-2 Year,No,24392,124,119,0
1780,Male,28,1,8,1,< 1 Year,No,33419,152,77,0
1781,Male,72,1,28,0,1-2 Year,Yes,56208,26,77,0
1782,Male,21,1,8,0,< 1 Year,Yes,28824,160,244,0
1783,Male,47,1,28,0,1-2 Year,No,38441,124,124,0
1784,Male,46,1,46,0,1-2 Year,Yes,40058,26,216,1
1785,Female,44,1,28,0,1-2 Year,Yes,36120,26,251,0
1786,Female,34,1,28,0,1-2 Year,Yes,39791,124,41,0
1787,Male,68,1,28,0,1-2 Year,Yes,34488,122,136,0
1788,Female,23,1,28,0,< 1 Year,No,2630,152,112,0
1789,Female,41,1,28,1,1-2 Year,No,29912,26,101,0
1790,Female,38,1,8,0,1-2 Year,Yes,72190,26,225,0
1791,Female,42,1,43,1,1-2 Year,No,2630,124,264,0
1792,Male,56,1,46,0,1-2 Year,Yes,30122,26,228,1
1793,Female,20,1,11,0,< 1 Year,Yes,26076,160,155,0
1794,Female,32,1,36,1,< 1 Year,No,2630,160,293,0
1795,Female,65,1,36,0,1-2 Year,No,32461,26,86,0
1796,Male,28,1,41,1,< 1 Year,No,20083,152,135,0
1797,Female,22,1,30,1,< 1 Year,No,29325,152,176,0
1798,Female,20,1,28,0,1-2 Year,Yes,50285,122,286,0
1799,Male,53,1,28,0,1-2 Year,Yes,46802,26,92,0
1800,Female,45,1,28,0,1-2 Year,Yes,35263,124,267,0
1801,Female,39,1,28,1,1-2 Year,No,36465,26,151,0
1802,Male,22,1,2,0,< 1 Year,No,30206,152,227,0
1803,Female,20,1,17,1,< 1 Year,No,28671,160,168,0
1804,Male,73,1,39,1,1-2 Year,No,35705,124,254,0
1805,Male,43,1,8,0,1-2 Year,Yes,2630,157,259,0
1806,Male,25,1,30,0,< 1 Year,Yes,26531,152,61,1
1807,Female,49,1,28,1,1-2 Year,No,39384,152,188,0
1808,Male,24,1,28,1,< 1 Year,No,42090,152,239,0
1809,Female,23,1,37,1,< 1 Year,No,31348,152,50,0
1810,Male,21,1,8,1,< 1 Year,No,40326,152,261,0
1811,Male,54,1,28,1,1-2 Year,No,48351,124,266,0
1812,Male,72,1,28,0,1-2 Year,Yes,27797,147,264,0
1813,Female,46,1,28,0,1-2 Year,Yes,47535,26,226,1
1814,Male,68,0,28,1,1-2 Year,Yes,30881,26,79,0
1815,Male,75,1,8,0,1-2 Year,Yes,49484,124,20,1
1816,Female,55,1,28,0,< 1 Year,No,2630,1,10,0
1817,Male,31,1,28,1,1-2 Year,No,43156,124,136,0
1818,Male,68,1,23,1,1-2 Year,No,32869,26,276,0
1819,Male,48,1,28,0,1-2 Year,Yes,33194,26,60,0
1820,Male,32,1,18,0,1-2 Year,Yes,2630,124,190,0
1821,Male,50,1,28,0,1-2 Year,Yes,59499,124,22,1
1822,Male,46,1,28,0,1-2 Year,No,35262,124,213,0
1823,Male,24,1,39,1,< 1 Year,No,41151,152,251,0
1824,Male,25,1,28,1,< 1 Year,No,49287,152,152,0
1825,Male,60,1,28,0,1-2 Year,Yes,55591,25,286,0
1826,Male,23,1,29,1,< 1 Year,No,24820,152,237,0
1827,Female,52,1,46,0,1-2 Year,Yes,29659,26,41,1
1828,Female,66,1,28,1,1-2 Year,No,44960,26,181,0
1829,Male,26,1,28,1,< 1 Year,No,33269,152,77,0
1830,Male,26,1,36,1,< 1 Year,No,33900,152,292,0
1831,Female,38,1,45,0,1-2 Year,Yes,35625,124,105,0
1832,Male,48,1,8,0,1-2 Year,Yes,37896,157,63,0
1833,Female,30,1,28,1,< 1 Year,No,50579,152,263,0
1834,Male,27,1,21,1,< 1 Year,No,24238,152,169,0
1835,Male,37,1,8,0,1-2 Year,No,30820,7,28,0
1836,Female,46,1,41,0,1-2 Year,Yes,34788,163,136,1
1837,Female,63,1,28,0,1-2 Year,Yes,29423,122,65,0
1838,Male,24,1,37,1,< 1 Year,No,33450,152,72,0
1839,Female,35,1,28,1,1-2 Year,No,40716,124,46,0
1840,Female,22,1,19,0,< 1 Year,Yes,2630,160,261,0
1841,Female,22,1,39,0,< 1 Year,No,27503,152,77,0
1842,Male,48,1,8,0,> 2 Years,Yes,52066,26,43,1
1843,Female,23,1,36,1,< 1 Year,No,2630,152,141,0
1844,Male,46,1,8,0,> 2 Years,Yes,61662,124,55,0
1845,Male,54,1,15,0,1-2 Year,Yes,43179,124,182,0
1846,Male,41,1,28,0,1-2 Year,Yes,32909,61,184,0
1847,Female,49,1,28,0,1-2 Year,Yes,37487,124,80,1
1848,Female,37,1,37,0,1-2 Year,Yes,2630,157,111,1
1849,Female,44,1,1,0,1-2 Year,Yes,2630,124,17,0
1850,Female,59,1,28,1,1-2 Year,No,48166,55,130,0
1851,Male,23,1,29,1,< 1 Year,No,36556,152,278,0
1852,Male,61,1,8,1,1-2 Year,No,51109,124,34,0
1853,Male,34,1,28,1,1-2 Year,No,29809,8,133,0
1854,Female,24,1,8,0,< 1 Year,Yes,35164,152,12,0
1855,Female,23,1,41,1,< 1 Year,No,44761,151,129,0
1856,Female,21,1,47,1,< 1 Year,No,31277,152,66,0
1857,Male,21,1,21,1,< 1 Year,No,29437,152,182,0
1858,Male,74,1,0,1,1-2 Year,No,2630,26,263,0
1859,Male,31,1,28,0,1-2 Year,Yes,24552,26,298,0
1860,Male,20,1,46,1,< 1 Year,Yes,25795,163,130,0
1861,Male,25,1,47,1,< 1 Year,Yes,44658,152,245,0
1862,Male,60,1,28,1,1-2 Year,No,2630,55,61,0
1863,Female,25,1,30,1,< 1 Year,No,23460,152,120,0
1864,Female,25,1,9,1,< 1 Year,No,26493,160,74,0
1865,Male,71,1,8,1,1-2 Year,No,36603,26,89,0
